word1,word2,human_score,cosine_similarity
isikole,isivivinyo,0.387611,0.38282764
upheka,ubuhlungu,0.323767,0.27524292
bethumela,nokuwuhambo,0.298557,0.17412914
zokuzithutha,sikhulile.,0.166655,0.4628032
isibalo,usukule,0.279971,0.24430573
umphakathi.,esithangamini,0.169589,0.3240362
568),ngehhashi,0.319422,0.4377468
ngokuvela,se-house,0.417384,0.15000255
uzodla,uhlabisa.,0.405123,0.38843167
izihlobo,izindlu.,0.326792,0.33190215
obukhulu,umsebenzi,0.298936,0.2185308
eminingi,esinzima,0.248168,0.11408934
ezomthetho,ngomoya,0.268517,0.25602055
amade,yize,0.235043,0.07517797
eseport,esikoleni.”,0.243605,0.47225836
indiza,uhambo,0.454374,0.3661719
ngokufanele,livunye,0.112832,0.24824066
ukuthokozisa,ukusakazeka.,0.28645,0.43962055
ebusuku,siqaphe,0.211759,0.23297778
bezikole,ibhukule,0.217047,0.17067195
ilanga,ziyadabukisa,0.363281,0.25442553
uxaba.,uzophokophelela,0.421572,0.31507984
umnyango,liqede,0.369679,0.37189913
uthisha,ukufunda,0.397279,0.114978105
ngakho-ke,yothando,0.308835,0.16205019
izinkomo,izinja,0.53942,0.76276666
ngezinkomo,ahlukene.,0.306683,0.32470253
baqonda,bezikhungo,0.233582,0.13474648
ukwelapha,impilo,0.294091,0.18681152
iphepha,umtapo,0.506548,0.36072287
kwethu.,anjalo,0.088302,0.27237508
engikuqaphelile,uvame,0.248257,0.39873755
unyaka,uthatha,0.348932,0.37800545
ukuxhumana,ukuziphatha,0.377372,0.24174708
abantwana,ngemfundo,0.4055,0.25351268
abanakekeli,eminingi,0.291476,0.22401366
umrepha,umbhalo,0.577379,0.73161614
isinkwa,indoda,0.209668,0.39428186
oluthathwa,sakubo,0.409899,0.2490981
ikhono,i-affinity,0.346649,0.3139988
okwamanje,unomvula,0.426934,0.39920023
nokubambisana,sesingcono.,0.215709,0.32169497
usuvuleke,ubabone.,0.440108,0.285862
ungakanani,uzofihla,0.582454,0.46853358
sikhulile.,asahamba,0.216734,0.44262254
wasenyuvesi,zomphakathi,0.377334,0.3853851
bafeza,emifundazweni,0.438797,0.28778014
okhwehlelayo,wobuthishela,0.330241,0.5390896
injabulo,ophekaayo,0.38972,0.3089675
ngendlela,zokusebenza,0.276283,0.16715145
ikhulume,i-african,0.321557,0.44784456
ohlanganise,bukachonco.,0.25463,0.32886922
akho.,konke,0.308604,0.2184765
isibuko,yingoma,0.41007,0.4044413
umhlaba.,kwayo.,0.325925,0.53976935
kokuthanda,sport.,0.211457,0.2833223
ukhala,yenewcastle,0.271773,0.1567321
lwaze,lwezobunhloli,0.659666,0.35784328
ikhofi,ibiyinhle,0.47638,0.32536647
ibhola,imidlalo,0.390663,0.3790874
abanye,sokwenza,0.270202,0.18723351
inkampani,idola,0.493123,0.48557353
amakhono,lwamahhala,0.285501,0.20593658
ubhuti,usuxoshiwe,0.365765,0.6116438
uphuma,usufikile,0.568824,0.43703482
ukuphila,ukupholishwa,0.372811,0.6179519
unokufa,usucabanga,0.48176,0.5823393
ezimbalwa,omkhulu,0.26271,0.05592765
ngabomnyango,embukisweni,0.412543,0.46193936
emikhulu,ubuqhawe,0.295506,0.36586022
zesizwe,zokuthengisa,0.33267,0.017142853
nabafundi,lisetshenziswa,0.258268,0.3922963
abagqi,esiqinile,0.235891,0.20517685
ithengela,ibingadlalisi,0.428371,0.43328604
kungesize,ngalutho,0.571066,0.4815744
lutholwe,335),0.353232,0.06639175
ababekwa,icala,0.512439,0.34972546
indlu,unozipho,0.399062,0.42420307
ukuvezwa,ukufakwa,0.609504,0.5386584
uzithele,usizwe,0.371794,0.32833964
akashongo,umculo,0.288657,0.4329028
umnyango,zokuphela,0.353213,0.39216462
umfana,umbuso,0.438408,0.71770096
omculo,izicathulo,0.181579,0.36123192
inhlungu,izinsizwa,0.264326,0.29444548
ubufakazi,uukuthi,0.372592,0.38326377
zezenhlalo,zasekapa,0.107023,0.4452962
ngenxa,wafunda,0.176982,0.22417726
bazizwa,namaphuzu,0.163632,0.3182792
abaswele,abanolona,0.324941,0.5189395
usehoxa,usizwa,0.491776,0.5507526
isifundo.,iseyimfuneko,0.357508,0.30226174
ngokuqondile.,wahosha,0.124255,0.24956825
ezintabeni,ozimisele,0.350863,0.40789244
ngokubona,owesifazane,0.413521,0.46375373
emfundweni,esizosiza,0.173057,0.33029673
ukujabulisa,ukhwezi,0.415706,0.36209315
ababhekene,ebusweni,0.157788,0.37716302
isikole.,kimi.,0.330987,0.5727222
mtshali.,ngangabe,0.249844,0.4370471
ubufakazi,ubingelelwa,0.554739,0.4857329
ubuholi,uthuli,0.442383,0.49088088
izibonelo,izenzo,0.376828,0.4563665
okungajwayelekile,harvest,0.473086,0.40106058
usbahle.,emercedes,0.38775,0.47422042
bagxeka,intela,0.431615,0.536235
kugwema,kunika,0.519784,0.4597795
uphiwayinkosi,uthola,0.38129,0.31076518
uthisha,imfundo,0.31139,0.18608971
ukulingana,ukwehlisa,0.240389,0.32530668
amaphoyisa,icala,0.531278,0.5910088
uphahla.,uphuze,0.565638,0.34605426
kokunqena.,singabaqeqeshi,0.209709,0.26376352
okufakazelwa,653),0.211831,0.47849843
abakhulumi,abafowethu,0.567169,0.6258324
yini.izokwenza,ubongani,0.149892,0.18363932
abafundisi,baqhubeka,0.281981,0.286273
ukusebenza,zokwelashwa,0.259159,0.06741381
nezmqoka,ngaphakathi,0.255962,0.34688213
engidinga,ngoba,0.077245,0.33341384
kungakho,wase,0.343655,0.1314299
u-major,ungakhohlwa,0.551481,0.4879768
ilotsholwe,ikhipha,0.565059,0.42081267
uhambe,ubuyela,0.459117,0.43433496
abavela,sepaki,0.205572,0.3919473
ulwandle,amanzi,0.460421,0.4345517
umfazi,ingane,0.507403,0.5776106
maphorisa,kumenywe,0.472255,0.34136155
ugcwele,ubungozi,0.29342,0.21350363
ukwelapha,isifo,0.580408,0.34738994
mothoalo,kungani,0.252506,0.36272693
kodwa,uyasebenza,0.342084,0.19958471
(70+%).,yokusebenzisa,0.246859,0.23011659
ubekhuluma,uphethwe,0.436754,0.19669186
efanele,izidingo,0.206508,0.22110699
esihlahleni,lapho,0.256012,0.14985265
kwazo.,umuntu,0.187429,0.10901174
police,we-south,0.757815,0.46084458
kukafakazi.,r900,0.508711,0.5402083
ekhaya,kokunqena,0.306955,0.3253881
isibhamu,isiteshi,0.566342,0.6885151
ufake,ujose,0.601269,0.6977618
ngesandla,sweetman.,0.332783,0.2139561
ngenze,okudingeka,0.231821,0.20273247
akazi,ingashiyi,0.369306,0.4539974
ukukhuthazana,ukuxhumana,0.417305,0.38463554
enkantolo,waphendula,0.372879,0.35818902
ngobulungiswa,uyaphumelela,0.373522,0.33823463
ngezimbali,lixhomeke,0.014091,0.16681133
ziguquka.,namasiko,0.280567,0.23201978
wakhala,zazinzima,0.346067,0.39497554
uqhubeka,ur102,0.556032,0.32979637
ukuhhubhuza,ukulinganisela,0.384067,0.28726807
uyanikeza,ziwumkhakha,0.161473,0.25813767
bo,yakamuva,0.257904,0.38543344
nokudayiswa,ukufundiswa,0.315427,0.45964742
kolwandle,kubuka,0.36415,0.42258787
abalondolozayo,okwenza,0.31121,0.28357252
abahle,eyishumi,0.318735,0.33789343
baqhubeka,kunzima,0.272698,0.15344304
abangaphezu,abadlalela,0.381984,0.38290715
ezifuna,480),0.119217,0.26288703
uyakabisa,uyazibuza,0.591343,0.6001718
noma,okugcwele,0.305327,0.18923207
umsakazo,theknoloji,0.669497,0.5321734
nabantwana,kumanje,0.136428,0.3504509
luyingxenye,engase,0.274229,0.09691262
uyalala,unozibusele,0.516344,0.3286842
zalokhu,phuza,0.351393,0.22406206
uhluleke,enew,0.411763,0.37853843
ubisi,indishi,0.6237,0.6270814
kwezilwane.,ephepheni,0.36394,0.33457714
ehamba,izimoto.,0.301313,0.25405595
unksz,usizwa,0.490527,0.30353913
uzozitshela,unxapha,0.572293,0.5582683
iphonsele,ithengwe,0.54112,0.4156323
bayabona,okumnandi,0.284728,0.09584319
uqhele,usufonela,0.552722,0.55937785
359),zokuziveza,0.148375,0.17528334
endaweni,izwe,0.285129,0.28182754
emshinini,kwandiswa,0.290443,0.32071656
incwadi,impumelelo,0.28006,0.3855731
isu,ilivume,0.615084,0.3971774
umculo,icwecwe,0.446308,0.29578257
ukuyofunda.,ukukhokha,0.490969,0.5290108
bathanda,kuholela,0.272843,0.15854558
ngesikhathi,wami.,0.160501,0.14121458
ukuqeda,ukungazisoli,0.470885,0.40472946
ikhula,ithunyelwa,0.257963,0.4630341
kuwena,azilungiselele,0.188477,0.41266814
bomculo,imizamo,0.31787,0.2545135
ahlala,zabantu.,0.309994,0.18385513
ukubhala,imfundo,0.347794,0.2313483
mwanawasa,ngondlovu,0.390831,0.46426085
befuna,enhle,0.235257,0.17570752
lwebele,abaswele.,0.164168,0.37144306
omakhelwane,omusha,0.317974,0.43609768
isikhuthazo,isaziso,0.506028,0.45762792
abasebenzayo,abanele,0.297146,0.30762464
eyahlukene,ngezinto,0.250062,0.19364189
kunayo,uhlangothi,0.452532,0.25096944
bazibandakanya,izidingo,0.232159,0.18502003
ukhuni,amanzi,0.361769,0.33599895
ushaywa,eyunivesithi,0.324999,0.5236219
unalo,uqobo,0.440498,0.48112506
izimo,namhlanje,0.37705,0.21609645
ikati,izilwane,0.326647,0.37729648
isipho,iziphathimandla,0.349993,0.25414872
kwezinqumo,umakhelwane,0.14198,0.113115706
wokucobelana,2026.,0.532108,0.38279015
ikhompiyutha,ucingo,0.617434,0.3422461
ikhaya,isiteshi,0.288885,0.293307
ukushaqeka,nokuzivocavoca,0.289411,0.23333852
ndawo.,lawo.,0.64955,0.91734177
uramaphosa,uhlolele,0.52055,0.61381847
ngayo,ngenxa,0.219468,0.19317187
mngomezulu,yokukhanya,0.251571,0.18576129
baze,oluningi.,0.176534,0.41358376
kuboshelwe,umawelele,0.349593,0.4703618
uyazinika,ungakanani,0.312693,0.31796268
bayasiza,nolwazi,0.280717,0.3832691
ihlathi,imifula,0.370537,0.34780023
imigqa,nqqo,0.382691,0.37614718
“isikole,440),0.187286,0.24603198
inkampani,uthanda,0.348615,0.2705659
bawafake,ivikele,0.379444,0.5787172
emakubo.,yena.,0.287902,0.6418689
uhlabisa.,ufuna,0.447927,0.3231494
ezinhle,sonke,0.301321,0.14525919
ukuthuthuka,ukuzinza,0.33924,0.19750087
wasezweni,ebandakanya,0.259911,0.14352392
wepremiership,ngobuqotho,0.152492,0.026490662
zokunciphisa,kungaphephile,0.248675,0.42364448
nezixazululo,ezintini,0.37153,0.5332999
and,zokuthuthukisa,0.179431,0.25611687
ngendlela,ukuthuthuka,0.279944,0.14094374
ngalo,ngifuna,0.294579,0.45318207
imfundo,izintaba,0.191518,0.15418997
njengezivakashi,emisebenzi,0.207052,0.40496457
bebusisiwe,wobumbano,0.15038,0.13857134
amandla,wesizini,0.28797,0.12976977
baneqiniso,ngokuzidela,0.414238,0.31819746
nezithombe,esikhiqizayo.,0.212371,0.34983215
ilwe,ezemfundo,0.253656,0.091443315
sikhethe,eseyonakaliswe,0.347392,0.19669683
ukulungisa,abaningi.,0.114851,0.17222145
olubalulekile.,yokuphila,0.107749,0.044711776
ohlelweni.,ngolwesibili,0.255414,0.49736884
izinhloko,izokwenza,0.258237,0.1456144
unandi,uhla,0.310049,0.38230798
nabanye,ukubekezela,0.170163,0.16625214
uyazinika,ucolonel,0.315297,0.23025224
uyasiza,uphakamise,0.319223,0.15416083
abalandeli,ekutheni,0.390006,0.24433844
umkhakha,534),0.200382,0.38812774
inkosi,icala,0.3313,0.4179559
manje,banikela,0.102635,0.059055187
inguquko,ingena,0.505115,0.56777066
amahle,uyathanda,0.318347,0.2155005
lukhombisa,umgibeli,0.314521,0.2245083
ezemishado,waboleka,0.221622,0.2675969
bangena,kwangokomzimba,0.227435,0.35059205
oculaayo,ngokuhlanganiswa,0.198791,0.41159618
somdlalo.,jikelele,0.305248,0.28429353
ahlaza.,nesikhulu,0.099129,0.17721254
kepha,ukuhlonipha,0.356036,0.42584428
procurement,ipuleti,0.554271,0.439997
iqophamlando,ivehicle,0.604065,0.34940764
abalondolozayo,babe,0.215369,0.06018983
abazimisele,abanikwe,0.255273,0.27724227
324),kwezinsuku,0.345167,0.3629855
usiza,ugweme,0.317958,0.38005602
nobugebengu.,ukusebenzisana,0.238219,0.302769
uyaziwa,kuzinyanyelwe,0.191231,0.20834723
isivivinyo,ucingo,0.42972,0.5311994
abakhonze,abamanje,0.464945,0.57468325
557),nokubambisana,0.574623,0.1521957
iziphazamiso,u-exclusive,0.358807,0.37014914
esekhona,march,0.435281,0.3289572
nobuzwe,ubabonga,0.271401,0.09380727
eyizele,nawukuqagula,0.483526,0.28270254
yigr-s,ekuhambeni,0.311937,0.32568252
zesizwe,untuli,0.136604,0.29504946
inkohlakalo,ihhotela,0.461393,0.4462695
esendimeni,ukuvakashela,0.313436,0.3764104
i-actuarial,itoyitoyi,0.801349,0.74293643
nomngane,elikhanya,0.185942,0.20242544
izinhlolo,izinyanga,0.395569,0.38772485
unokwanda,wakwazi,0.383415,0.32104218
usanele,uwuhambisa,0.464847,0.25525123
ucingo,ukuxhumana,0.53416,0.49349174
kube,namandla,0.295146,0.12156897
arrows,obekujatshulwa,0.475596,0.47759295
kakhulu,okwadala,0.270698,0.21000277
ungene,ujacob,0.534499,0.49840525
bayisebenzisa,ngokuqina,0.298658,0.15063795
indiza,amaculo,0.285491,0.34632564
ikati,izimvu,0.421706,0.35307163
ukuzicabela,ukuwabulala,0.550818,0.52071375
nendlela,okumqoka,0.32941,0.13543348
ehambisana,ukuhlasela,0.472361,0.16967848
abalondolozayo,iyisibani,0.264999,0.18832953
unokushibilika,ulozolo,0.590549,0.57141525
ukuzokwethula,ukubaleka,0.411283,0.32903904
ubuntu.,uhlanganyela,0.368847,0.37702462
isizwe,kuyinhlanhla,0.236284,0.19356793
usanda,ucebise,0.486399,0.492615
okusebenza,783),0.083482,0.02005992
uyakhuluma,uyesaba,0.663508,0.75152737
icala,izintaba,0.087235,0.35180947
usebheke,u-r10,0.540819,0.53482205
udonsa,uzothi,0.491266,0.48282996
ukudla,indishi,0.259441,0.14093027
babusisa,wecawa,0.280081,0.25667
emphandleni,uyakhuthaza,0.364172,0.4433189
iqalile,yomkhondo,0.206578,0.3723343
emfuleni,umakhelwane,0.397021,0.364966
babantu,esikhulu,0.307027,0.19149914
unomphelo,ungcebeleka,0.466589,0.5977851
ukudla,isitsha,0.346553,0.32610947
ubuqotho,udidekile,0.320999,0.31229928
uxoshwa,ezizayo,0.199247,0.18295133
uthenge,usjava.,0.473808,0.4610438
imoto,olusezansi,0.347605,0.21543698
unosipho.,ugumede,0.492397,0.5512071
namhlanje,usipho,0.425418,0.46108544
bafeze,bomphakathi,0.431745,0.28165844
ukuqhubeka,ukumema,0.320451,0.29146475
labantwana,dladla,0.241256,0.26207358
ngezimbali,zokuphumelela,0.156419,0.29403126
yesonto,esetshenziswa,0.217292,0.20173335
esikhanyo,nalezi,0.125501,0.22387767
nomphakathi,wami,0.242811,0.17058457
uhlola,uyasikhombisa,0.377832,0.5692836
ikusasa,ngokuthula,0.380021,0.21446049
ukuthula,ukhwele,0.28205,0.20223622
bavikelwe,emphakathini,0.248159,0.2094547
chiefs,ngamadoda.,0.274336,0.38843724
ukuvakasha,ukuhlengwa,0.474817,0.5677645
abaphumelelayo.,abazozwa,0.373459,0.5067621
amathambo,amakhadi,0.374012,0.62654424
izintatheli,ngobukhalipha,0.248969,0.16229223
ufundela,u-r230,0.348949,0.28914234
zizithuthukise.,kwezwe.,0.377892,0.6596248
babo,emihle,0.285265,0.24088
ngiwumncwaningi,ngo-2015,0.66907,0.5522355
abamthanda,abanekhono,0.287911,0.29840714
ikhibhodi,ucingo,0.635026,0.42655313
kwethu,okukhomba,0.351972,0.3312163
chiefs,i-kaizer,0.802474,0.7194076
ubudlelwane,ushukela,0.328869,0.42689574
ibhola,ukudlala,0.375376,0.36562797
abaculi,aphuma,0.288226,0.27325937
ibhotela,isitsha,0.573191,0.48593542
ompofu,owedlule,0.500044,0.3920127
lwabazali,igwebe,0.233849,0.28526795
umndeni,ihlathi,0.213649,0.2431969
igcwele,ipuleti,0.431248,0.49763778
892),engu-45.,0.402199,0.71492916
umasipala,inkohlakalo,0.477014,0.52755636
yokununuselwa,izihlobo,0.07325,0.2691708
240),ugesi,0.236482,0.23576348
umklonyelise,uyaphumelela,0.36946,0.36103982
icorolla,igceke.,0.381585,0.55427474
sasigunyaza,mutyaba,0.441725,0.64140594
imfundo,ubuhle,0.253366,0.23395988
ukubhala,ukufaka,0.461042,0.51487905
ngohlelo,ukuze,0.261766,0.33330253
usushaya,usizwe,0.458318,0.6818012
ezikhombisa,nabangane,0.11958,0.3924012
uzubazi,iphunga,0.180859,0.4782113
ethe,cat,0.456019,0.18993418
ikusasa,umbongiseni,0.267715,0.16419227
amazwi,noindlu,0.329886,0.19484274
icala,isiko,0.228702,0.43992603
ubuhle,ubudala.,0.362552,0.4295328
osayizi,882),0.380664,0.40044016
ziphilile,okusemandleni,0.242264,0.41552725
abaphumelele,abathe,0.494659,0.30349082
ukufundisa,ukuqoqa,0.411067,0.35081363
(53),uthe,0.523434,0.24837132
sengifuna,wawo,0.273794,0.23534004
584),uyaesaba,0.116213,0.05914122
ezinezifundo,zomndeni,0.399927,0.366387
eziphakeme,phezu,0.451134,0.3095993
ngenhliziyo,uyathanda,0.289621,0.23375829
ukuxhumana,umabonakude,0.430733,0.3483913
baqhuba,besikole,0.329943,0.30251917
imeyo,nangokushesha.,0.337974,0.42021576
umsunduzi,umlobi,0.559892,0.77897286
sibona,uyapheka,0.337266,0.32948187
usanethuba,yi-adaptive,0.513457,0.32875168
nokuhlanganyela.,okufakazelwa,0.191871,0.5200127
uyalala,uchilize,0.280133,0.21345344
esisha,kwezinyanga,0.308287,0.33336577
uyesaba,usafuna,0.381538,0.41379634
amatotho,ama-quarterfinal,0.579143,0.71517676
bayacula,nezimfanelo,0.40576,0.47878122
nomsebenzi,wumsebenzi,0.462149,0.7672436
esifanele,wakhumbula,0.438665,0.46871904
uthisha,iphepha,0.326399,0.30439395
isikole,uthisha,0.421914,0.5512804
ukudansa,ukukhishwa,0.555929,0.5074398
sokubuyela,samaphoyisa,0.355926,0.4357201
kwipolitiki,bangaqhuleki,0.367492,0.51794964
inja,inyoni,0.549693,0.5131378
lokuqhakambisa,benye,0.38211,0.29784662
ngobukhosi,okuthiwa,0.135744,0.13503172
sabalandeli,udylan,0.496682,0.48940805
596),endawo,0.127357,0.08735206
sisekelo,yakhe,0.289368,0.23978224
okuqhubekayo.,zedolobha,0.11991,0.34366125
ekapa,olaziyo,0.279302,0.39365348
izinuke,izindawo.,0.344491,0.5502859
kwalowo,eyifagugu,0.24529,0.4037271
ngomlando.,usafisa,0.210028,0.22226335
bomqondo.,unkosi,0.500611,0.45710605
imithetho,imiyalezo,0.338157,0.5043423
lokukhiqiza,usikhulisa,0.193347,0.18887712
“ngizibambe,amarekhodi.,0.386879,0.42059696
basiza,ethu,0.217173,0.076643564
lusabalale,okwesikhashana,0.083547,0.16921318
unota,uyabakhuthaza,0.453661,0.45407504
lusebenza,wewomen’s,-0.030937,0.24626474
ethu,isisekelo,0.273029,0.18514942
ngokomoya,ngezikhali,0.18983,0.30206496
emazingeni,esengikusona,0.338486,0.4403101
elihle,liyakhula,0.333181,0.2999557
yanyakenye,wayesefuna,0.511033,0.47392485
ngiyisports,wembathwe,0.440155,0.41651487
umdlandla,3-0.,0.312168,0.22154528
kweminyaka,lizwe,0.264507,0.31341028
izitshudeni,leli,0.367001,0.31047103
ikuthola,idlale,0.373732,0.37806937
(afcon),lwekhaya,0.185871,0.22723672
lube,asingajabulisi,0.313835,0.33673757
ugogo,ucele,0.259108,0.40123475
babhekelelwe,ezingazilimaza.,0.327252,0.42666137
ihlangana,i-quad,0.444741,0.34479544
udokotela,ugcina,0.307098,0.43792516
onikezwa,uthabo,0.412023,0.08348882
ukumiswa,ukuziphatha,0.299242,0.36130485
law,ngalo,0.435487,0.21889406
ibe,umthandazo,0.20935,0.32616082
322),4.,0.410073,0.5594681
uhlanganisene,uyahlonishwa,0.308749,0.39709908
enezinhlamvu,712),0.207581,0.39781854
ukhozi.,ukuwela,0.568645,0.34914672
imeya,imidlalo,0.32366,0.46335927
ithumele,i-african,0.562903,0.4786183
imoto,uhambo,0.394971,0.3729123
isiteshi,inkantolo,0.541114,0.56661266
ibimayelana,iqhawe,0.477005,0.49268275
ukuhlaziya,ukusekelana,0.408168,0.4068655
umfana,umndeni,0.38703,0.3643139
ngokuthi,nenhlanhla,0.13444,0.20303603
abantwana,sobunzima,0.300075,0.0143482825
nokusebenzisana,ezenziwayo,0.188154,0.24083547
icala.,inkohlakalo,0.49934,0.40794447
namuhla,onekhono,0.437684,0.15692765
idolobha,ihhotela,0.378618,0.39168882
isikweletu,ukonga,0.591989,0.40598688
bernard,amathalente,0.44345,0.47386146
yi-offside.,ngo-7,0.498123,0.31704772
umbuso,inkohlakalo,0.446259,0.48589256
abandayo,emsakazweni.,0.146849,0.28352973
twins,zesikole,0.079881,0.18765208
bezomthetho,eside,0.369811,0.28252605
izingabunjalo,nabangane,0.110096,0.4481194
yezincwadi.,sezinsuku,0.133638,0.18950716
neamazwi,yamanzi,0.222509,0.21877608
ungobeni,u-anthony,0.703292,0.5742697
ayiyona,ukuthi,0.188864,0.31413707
ezikhula,ngokuhlanganyela.,0.097302,0.29689774
umfula,imvelo,0.330412,0.14980938
bazijabulise,mbono.,0.198339,0.42510659
amahlanu,760),0.319484,0.43134692
abanokuzethemba,abangasenayo,0.440132,0.46834978
wasecanada,wobuntatheli,0.446674,0.5894622
ubuthelezi,ungaphazamiseki,0.557332,0.5961528
unksz,ujabulela,0.447245,0.35074684
imoto,isitimela,0.435338,0.47391978
ikhiqiza,ikhwehlela,0.484368,0.53982043
itransnet,i-corolla,0.7227,0.6577541
uzohlangana,sebeqala,0.268812,0.5001533
nephysics.,43),0.41331,0.59460753
isizwe,isibhamu.,0.283949,0.34954867
umongameli,kuzobathatha,0.208811,0.37010595
ukhuliswe,imind,0.03741,0.07579243
iba,sohambo,0.43783,0.32542127
ubulele,usungathi,0.559976,0.35707885
amadodakazi,kwezinsuku,0.311526,0.24550308
ibandla,uzogqoka,0.479871,0.43514884
ngokuzimisela,uzobonga,0.298082,0.035719115
ngibasize,xaba.,0.261945,0.29432133
2.8,yaba,0.329652,0.22197498
ugelezela,untuli,0.353028,0.47698447
umfundi,iphepha,0.260816,0.2935023
ingoma,amaculo,0.330002,0.33458397
akubi,ikhompyutha,0.262837,0.40381008
esikubonayo,ikusasa,0.226297,0.28367963
ukaze.,izinkawu,0.319253,0.43893528
uyalele,usucabanga,0.577914,0.313368
abaningi,emfuleni,0.304173,0.18772225
amazinga,amanazaretha,0.434077,0.6530787
isihlahla,lapho,0.272019,0.13919246
icala,isizwe,0.29301,0.15779467
izibhedlela,izinkinga,0.330042,0.48393244
lokuqala,okhutheleyo,0.382399,0.49642214
nokuthi,sinomkhuba,0.4743,0.25943935
usiphokuhle,ulwimi,0.549679,0.43778247
uyakholelwa,ungeneme,0.329981,0.2780294
ugweme,usjava.,0.547034,0.55864155
ukufaka,ukubuyisana,0.385483,0.41051447
edinga,efisa,0.381029,0.34806564
ulwazi,umdlalo,0.111345,0.17555383
ezikhuthele,yonke,0.258625,0.13903089
nempuphu.,553),0.321201,0.5509815
ezinemibala.,ezaba,0.291787,0.45287344
igoli,mbangwa,0.55898,0.49924567
endawo,wendawo,0.267332,0.3850655
bonke,zekhono,0.266734,0.1260572
wase-afrika,ukuzithenga,0.273422,0.30921865
harvest,ezengamelwe,0.426987,0.586189
nempaka,umhlathi,0.283161,0.28346053
eminingi,ukhezo,0.336181,0.18872128
ibihlolwa,indishi,0.346309,0.45956895
izindawo,izimvu,0.281646,0.3174572
eyokuhlakazwa.,inkathi,0.275664,0.36783168
aya,zidakamizwa,0.604399,0.14104009
indlu,ihhotela,0.337259,0.31820735
ukukhomba,kithina,0.298144,0.32538432
bafake,359),0.301567,0.27057806
ojulile,ukuphana,0.417848,0.29198295
ingoma,umculi,0.508494,0.3778628
kufakwe,awunandaba,0.359903,0.33329582
isizwe,inkampani,0.144179,0.25361127
abakhuliswe,abangena,0.406223,0.530057
unompumelelo,uzuze,0.406395,0.3315711
kabusha.,elinothando,0.128283,0.13868432
izinyamazane,izithandazo,0.545945,0.68426275
uthabo,ufuna,0.398033,0.28224868
ikati,inyuvesi,0.308932,0.35594657
kwesikhathi,yesikole,0.365478,0.41599822
ukukunika,ukungcola.,0.611067,0.55152977
usizo,upikwe,0.467712,0.25200495
amakhosi,ubumbano,0.286537,0.24382286
luyinqaba,umnewethu,0.379234,0.34481776
abayithola,abanakekela,0.374644,0.14990696
kunkulunkulu,uchilize,0.177577,0.35197404
asibi,isikhathi,0.358638,0.5472801
ayinikeza,ezinemiyalezo,0.270137,0.4238596
enhliziyweni,ndawonye,0.239159,0.1164192
izinhlamvu,imoto.,0.277056,0.35325786
emfuleni,uyafundisa,0.406252,0.4222541
ejele,ngenyanga,0.34062,0.3200421
uthanda,bomvu,0.1004,0.21422324
ubudlelwane,ubig,0.364245,0.5402525
ukubaluleka,ukusimama,0.309713,0.16853544
amanxusa,ezikhungweni,0.290168,0.22360489
umahlaba,umsolwa,0.613738,0.49435
abo,eliphezulu,0.35615,0.26605016
ukufeza,uyagijima,0.201633,0.27036577
